@RELATION compras

@ATTRIBUTE sexo {F,M}
@ATTRIBUTE estado_civil {DIVORCIADO, SOLTEIRO, VIUVO, CASADO}
@ATTRIBUTE bairro {CENTRO, 'SANTO ANTONIO', JUCUTUQUARA, MARUIPE, 'PRAIA DO CANTO', 'SAO PEDRO', GOIABEIRAS, 'JARDIM CAMBURI', 'JARDIM DA PENHA'}
@ATTRIBUTE preco {'ate 100', 'de 100 a 200', 'de 200 a 300', 'de 300 a 400', 'de 400 a 500', 'acima de 500'}
@ATTRIBUTE estabelecimento {INFORMATICA, BRINQUEDOS, 'CELULARES E TELEFONIA', ELETRODOMESTICOS, 'BELEZA E PERFUMARIA', GAMES, LIVROS, DECORACAO}
@ATTRIBUTE data_compra_dia NUMERIC
@ATTRIBUTE data_compra_mes NUMERIC
@ATTRIBUTE data_compra_semana {Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday}
@ATTRIBUTE idade {'18-25', '26-35', '35-45', '46-60', 'acima de 60'}

@DATA
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","BRINQUEDOS",23,1,"Saturday","acima de 60"
"M","SOLTEIRO","JARDIM CAMBURI","de 100 a 200","GAMES",23,1,"Saturday","26-35"
"M","SOLTEIRO","JUCUTUQUARA","de 200 a 300","GAMES",21,10,"Friday","26-35"
"M","CASADO","CENTRO","ate 100","INFORMATICA",21,8,"Sunday","26-35"
"M","SOLTEIRO","JUCUTUQUARA","ate 100","GAMES",25,6,"Saturday","26-35"
"M","CASADO","PRAIA DO CANTO","ate 100","GAMES",30,1,"Saturday","26-35"
"M","DIVORCIADO","JARDIM CAMBURI","acima de 500","GAMES",8,12,"Thursday","18-25"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","INFORMATICA",17,9,"Saturday","46-60"
"M","SOLTEIRO","PRAIA DO CANTO","de 100 a 200","GAMES",27,8,"Saturday","35-45"
"M","DIVORCIADO","GOIABEIRAS","de 200 a 300","INFORMATICA",5,2,"Friday","18-25"
"M","CASADO","CENTRO","de 200 a 300","GAMES",23,7,"Saturday","18-25"
"M","SOLTEIRO","PRAIA DO CANTO","acima de 500","BRINQUEDOS",15,10,"Saturday","35-45"
"M","DIVORCIADO","JARDIM CAMBURI","ate 100","CELULARES E TELEFONIA",3,12,"Saturday","46-60"
"M","SOLTEIRO","JUCUTUQUARA","acima de 500","LIVROS",30,7,"Saturday","35-45"
"M","SOLTEIRO","SANTO ANTONIO","ate 100","INFORMATICA",14,12,"Wednesday","acima de 60"
"M","DIVORCIADO","SANTO ANTONIO","ate 100","BELEZA E PERFUMARIA",14,7,"Thursday","35-45"
"M","DIVORCIADO","JARDIM CAMBURI","de 100 a 200","INFORMATICA",21,2,"Sunday","35-45"
"M","CASADO","PRAIA DO CANTO","acima de 500","LIVROS",19,2,"Friday","acima de 60"
"M","DIVORCIADO","JARDIM DA PENHA","de 400 a 500","INFORMATICA",27,5,"Friday","35-45"
"M","DIVORCIADO","JARDIM CAMBURI","de 200 a 300","ELETRODOMESTICOS",19,3,"Saturday","26-35"
"M","SOLTEIRO","JARDIM CAMBURI","de 100 a 200","BRINQUEDOS",30,12,"Friday","26-35"
"M","SOLTEIRO","SAO PEDRO","acima de 500","CELULARES E TELEFONIA",10,1,"Sunday","35-45"
"M","CASADO","JARDIM DA PENHA","ate 100","INFORMATICA",29,1,"Friday","35-45"
"M","CASADO","JARDIM CAMBURI","ate 100","CELULARES E TELEFONIA",13,8,"Saturday","acima de 60"
"M","CASADO","CENTRO","de 100 a 200","DECORACAO",20,2,"Saturday","46-60"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","LIVROS",8,5,"Sunday","acima de 60"
"M","CASADO","JARDIM CAMBURI","ate 100","INFORMATICA",27,7,"Wednesday","35-45"
"M","CASADO","JARDIM CAMBURI","ate 100","INFORMATICA",13,2,"Saturday","26-35"
"M","DIVORCIADO","JARDIM CAMBURI","ate 100","BELEZA E PERFUMARIA",22,8,"Monday","46-60"
"M","DIVORCIADO","CENTRO","de 100 a 200","DECORACAO",29,4,"Friday","35-45"
"M","VIUVO","JARDIM CAMBURI","ate 100","GAMES",2,10,"Sunday","acima de 60"
"M","CASADO","JARDIM DA PENHA","de 100 a 200","GAMES",4,12,"Sunday","35-45"
"M","CASADO","CENTRO","de 100 a 200","BRINQUEDOS",22,10,"Saturday","35-45"
"M","CASADO","PRAIA DO CANTO","de 100 a 200","GAMES",8,7,"Friday","35-45"
"M","CASADO","JARDIM CAMBURI","ate 100","BELEZA E PERFUMARIA",6,8,"Saturday","acima de 60"
"M","DIVORCIADO","PRAIA DO CANTO","de 100 a 200","BRINQUEDOS",6,1,"Wednesday","acima de 60"
"M","DIVORCIADO","JARDIM CAMBURI","de 100 a 200","ELETRODOMESTICOS",20,2,"Saturday","26-35"
"M","SOLTEIRO","SAO PEDRO","de 200 a 300","INFORMATICA",22,10,"Saturday","46-60"
"M","DIVORCIADO","JARDIM DA PENHA","acima de 500","BRINQUEDOS",26,10,"Wednesday","acima de 60"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","INFORMATICA",3,4,"Sunday","18-25"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","DECORACAO",19,10,"Wednesday","26-35"
"M","CASADO","GOIABEIRAS","de 100 a 200","INFORMATICA",25,6,"Saturday","26-35"
"M","SOLTEIRO","SANTO ANTONIO","de 400 a 500","DECORACAO",7,6,"Tuesday","26-35"
"M","VIUVO","JARDIM CAMBURI","de 100 a 200","INFORMATICA",10,5,"Tuesday","26-35"
"M","VIUVO","JARDIM DA PENHA","ate 100","INFORMATICA",30,7,"Saturday","acima de 60"
"M","CASADO","JARDIM DA PENHA","de 400 a 500","GAMES",18,8,"Thursday","35-45"
"M","SOLTEIRO","PRAIA DO CANTO","ate 100","GAMES",18,6,"Saturday","35-45"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","BRINQUEDOS",28,12,"Wednesday","35-45"
"M","SOLTEIRO","JARDIM CAMBURI","de 100 a 200","CELULARES E TELEFONIA",8,9,"Thursday","35-45"
"M","SOLTEIRO","CENTRO","ate 100","BRINQUEDOS",17,9,"Saturday","35-45"
"M","CASADO","JARDIM CAMBURI","de 400 a 500","INFORMATICA",24,7,"Sunday","26-35"
"M","DIVORCIADO","SANTO ANTONIO","ate 100","GAMES",3,10,"Monday","35-45"
"M","DIVORCIADO","JARDIM CAMBURI","de 200 a 300","GAMES",1,12,"Thursday","26-35"
"M","SOLTEIRO","CENTRO","de 400 a 500","INFORMATICA",14,5,"Saturday","18-25"
"M","VIUVO","PRAIA DO CANTO","de 100 a 200","LIVROS",12,11,"Saturday","18-25"
"M","DIVORCIADO","PRAIA DO CANTO","de 100 a 200","GAMES",19,5,"Thursday","acima de 60"
"M","CASADO","PRAIA DO CANTO","ate 100","GAMES",15,4,"Friday","35-45"
"M","VIUVO","GOIABEIRAS","de 200 a 300","GAMES",3,6,"Friday","35-45"
"M","CASADO","SAO PEDRO","ate 100","GAMES",8,4,"Friday","26-35"
"M","CASADO","PRAIA DO CANTO","ate 100","GAMES",15,10,"Saturday","18-25"
"M","CASADO","SAO PEDRO","de 400 a 500","GAMES",8,4,"Friday","26-35"
"M","CASADO","GOIABEIRAS","ate 100","DECORACAO",19,11,"Saturday","46-60"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","GAMES",10,9,"Saturday","35-45"
"M","CASADO","PRAIA DO CANTO","ate 100","INFORMATICA",26,11,"Saturday","26-35"
"M","VIUVO","CENTRO","de 100 a 200","CELULARES E TELEFONIA",12,3,"Saturday","35-45"
"M","CASADO","JARDIM CAMBURI","ate 100","BELEZA E PERFUMARIA",21,8,"Sunday","26-35"
"M","CASADO","JARDIM CAMBURI","de 400 a 500","GAMES",30,4,"Saturday","35-45"
"M","CASADO","PRAIA DO CANTO","ate 100","INFORMATICA",5,8,"Friday","35-45"
"M","CASADO","JARDIM CAMBURI","ate 100","GAMES",4,5,"Wednesday","26-35"
"M","SOLTEIRO","PRAIA DO CANTO","de 100 a 200","INFORMATICA",27,2,"Saturday","26-35"
"M","VIUVO","JARDIM CAMBURI","ate 100","DECORACAO",19,8,"Friday","acima de 60"
"M","CASADO","SAO PEDRO","ate 100","BELEZA E PERFUMARIA",14,10,"Friday","26-35"
"M","DIVORCIADO","GOIABEIRAS","de 200 a 300","INFORMATICA",26,8,"Friday","26-35"
"M","CASADO","JARDIM CAMBURI","ate 100","GAMES",21,10,"Friday","35-45"
"M","CASADO","SAO PEDRO","de 100 a 200","GAMES",30,4,"Saturday","26-35"
"M","VIUVO","SAO PEDRO","ate 100","ELETRODOMESTICOS",13,5,"Friday","26-35"
"M","VIUVO","JARDIM DA PENHA","ate 100","LIVROS",6,3,"Sunday","35-45"
"M","DIVORCIADO","SANTO ANTONIO","ate 100","GAMES",27,1,"Wednesday","18-25"
"M","CASADO","JUCUTUQUARA","ate 100","ELETRODOMESTICOS",29,7,"Friday","35-45"
"M","CASADO","JARDIM CAMBURI","de 200 a 300","GAMES",2,7,"Saturday","acima de 60"
"M","CASADO","JARDIM DA PENHA","ate 100","INFORMATICA",23,4,"Saturday","46-60"
"M","CASADO","JARDIM CAMBURI","ate 100","INFORMATICA",4,11,"Friday","35-45"
"M","SOLTEIRO","JARDIM CAMBURI","de 100 a 200","GAMES",16,10,"Sunday","acima de 60"
"M","CASADO","JARDIM CAMBURI","de 200 a 300","GAMES",25,5,"Wednesday","46-60"
"M","VIUVO","JARDIM CAMBURI","de 100 a 200","BRINQUEDOS",29,6,"Wednesday","18-25"
"M","CASADO","PRAIA DO CANTO","de 100 a 200","INFORMATICA",24,6,"Friday","26-35"
"M","SOLTEIRO","JUCUTUQUARA","ate 100","GAMES",6,11,"Sunday","35-45"
"M","CASADO","JARDIM CAMBURI","de 200 a 300","BRINQUEDOS",30,4,"Saturday","46-60"
"M","CASADO","CENTRO","ate 100","INFORMATICA",18,7,"Monday","35-45"
"M","SOLTEIRO","CENTRO","ate 100","GAMES",14,4,"Thursday","35-45"
"M","DIVORCIADO","PRAIA DO CANTO","ate 100","LIVROS",5,9,"Monday","acima de 60"
"M","CASADO","JARDIM CAMBURI","de 400 a 500","DECORACAO",30,4,"Saturday","46-60"
"M","SOLTEIRO","JUCUTUQUARA","ate 100","INFORMATICA",11,5,"Wednesday","18-25"
"M","VIUVO","MARUIPE","de 100 a 200","CELULARES E TELEFONIA",23,7,"Saturday","46-60"
"M","CASADO","PRAIA DO CANTO","de 100 a 200","INFORMATICA",10,1,"Sunday","35-45"
"M","SOLTEIRO","JARDIM DA PENHA","de 100 a 200","DECORACAO",13,4,"Wednesday","35-45"
"M","SOLTEIRO","CENTRO","de 100 a 200","LIVROS",6,8,"Saturday","46-60"
"M","CASADO","JARDIM CAMBURI","acima de 500","BELEZA E PERFUMARIA",9,9,"Friday","26-35"
"M","CASADO","JARDIM CAMBURI","ate 100","INFORMATICA",16,12,"Friday","46-60"
"M","DIVORCIADO","JARDIM CAMBURI","ate 100","GAMES",11,12,"Sunday","35-45"
"M","VIUVO","JARDIM CAMBURI","ate 100","GAMES",30,12,"Friday","acima de 60"
"M","CASADO","GOIABEIRAS","acima de 500","BELEZA E PERFUMARIA",23,1,"Saturday","acima de 60"
"M","SOLTEIRO","JUCUTUQUARA","de 100 a 200","ELETRODOMESTICOS",26,11,"Saturday","26-35"
"M","DIVORCIADO","SAO PEDRO","acima de 500","GAMES",8,3,"Tuesday","35-45"
"M","CASADO","JUCUTUQUARA","ate 100","ELETRODOMESTICOS",26,11,"Saturday","26-35"
"M","CASADO","JARDIM CAMBURI","ate 100","LIVROS",27,8,"Saturday","18-25"
"M","CASADO","JARDIM CAMBURI","de 400 a 500","DECORACAO",13,11,"Sunday","35-45"
"M","DIVORCIADO","JARDIM CAMBURI","ate 100","LIVROS",8,10,"Saturday","35-45"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","CELULARES E TELEFONIA",19,3,"Saturday","26-35"
"M","VIUVO","PRAIA DO CANTO","ate 100","INFORMATICA",11,2,"Thursday","acima de 60"
"M","CASADO","CENTRO","ate 100","LIVROS",23,8,"Tuesday","46-60"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","INFORMATICA",30,1,"Saturday","26-35"
"M","VIUVO","JARDIM CAMBURI","ate 100","BRINQUEDOS",29,1,"Friday","26-35"
"M","CASADO","CENTRO","ate 100","BRINQUEDOS",2,4,"Saturday","46-60"
"M","SOLTEIRO","JARDIM CAMBURI","de 400 a 500","GAMES",17,7,"Sunday","26-35"
"M","VIUVO","PRAIA DO CANTO","de 100 a 200","GAMES",28,9,"Wednesday","35-45"
"M","SOLTEIRO","JUCUTUQUARA","ate 100","GAMES",2,3,"Wednesday","26-35"
"M","CASADO","SANTO ANTONIO","ate 100","INFORMATICA",30,12,"Friday","35-45"
"M","DIVORCIADO","PRAIA DO CANTO","ate 100","LIVROS",31,12,"Thursday","acima de 60"
"M","CASADO","JARDIM CAMBURI","ate 100","GAMES",28,5,"Saturday","35-45"
"M","DIVORCIADO","JARDIM CAMBURI","de 100 a 200","GAMES",10,12,"Saturday","26-35"
"M","CASADO","PRAIA DO CANTO","de 100 a 200","DECORACAO",15,10,"Saturday","46-60"
"M","CASADO","JARDIM CAMBURI","acima de 500","DECORACAO",18,6,"Saturday","26-35"
"M","DIVORCIADO","JARDIM DA PENHA","ate 100","BRINQUEDOS",15,1,"Friday","26-35"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","LIVROS",3,2,"Wednesday","26-35"
"M","CASADO","JARDIM CAMBURI","ate 100","ELETRODOMESTICOS",23,1,"Saturday","35-45"
"M","SOLTEIRO","MARUIPE","de 200 a 300","LIVROS",15,10,"Saturday","26-35"
"F","SOLTEIRO","MARUIPE","de 100 a 200","DECORACAO",19,10,"Wednesday","46-60"
"F","DIVORCIADO","SAO PEDRO","de 400 a 500","ELETRODOMESTICOS",4,1,"Monday","46-60"
"F","VIUVO","CENTRO","de 100 a 200","BRINQUEDOS",27,7,"Wednesday","35-45"
"F","CASADO","PRAIA DO CANTO","de 200 a 300","LIVROS",16,12,"Friday","26-35"
"F","DIVORCIADO","CENTRO","de 200 a 300","DECORACAO",22,5,"Sunday","26-35"
"F","DIVORCIADO","MARUIPE","de 200 a 300","DECORACAO",30,7,"Saturday","26-35"
"F","SOLTEIRO","SAO PEDRO","de 200 a 300","CELULARES E TELEFONIA",17,9,"Saturday","35-45"
"F","DIVORCIADO","CENTRO","de 300 a 400","BELEZA E PERFUMARIA",2,6,"Thursday","18-25"
"F","SOLTEIRO","JARDIM CAMBURI","de 100 a 200","BELEZA E PERFUMARIA",2,5,"Monday","18-25"
"F","SOLTEIRO","CENTRO","de 200 a 300","ELETRODOMESTICOS",23,9,"Friday","35-45"
"F","DIVORCIADO","PRAIA DO CANTO","acima de 500","GAMES",10,11,"Thursday","acima de 60"
"F","VIUVO","CENTRO","de 200 a 300","ELETRODOMESTICOS",14,5,"Saturday","18-25"
"F","VIUVO","PRAIA DO CANTO","de 200 a 300","BELEZA E PERFUMARIA",13,10,"Thursday","46-60"
"F","SOLTEIRO","MARUIPE","de 200 a 300","CELULARES E TELEFONIA",18,9,"Sunday","26-35"
"F","VIUVO","PRAIA DO CANTO","de 100 a 200","CELULARES E TELEFONIA",29,10,"Saturday","35-45"
"F","DIVORCIADO","SAO PEDRO","ate 100","BELEZA E PERFUMARIA",5,11,"Saturday","46-60"
"F","VIUVO","PRAIA DO CANTO","ate 100","BRINQUEDOS",19,6,"Sunday","26-35"
"F","SOLTEIRO","SANTO ANTONIO","de 200 a 300","ELETRODOMESTICOS",30,11,"Wednesday","26-35"
"F","DIVORCIADO","GOIABEIRAS","de 200 a 300","DECORACAO",4,5,"Wednesday","18-25"
"F","VIUVO","PRAIA DO CANTO","ate 100","BRINQUEDOS",3,4,"Sunday","18-25"
"F","CASADO","SANTO ANTONIO","de 300 a 400","BELEZA E PERFUMARIA",1,6,"Wednesday","26-35"
"F","CASADO","PRAIA DO CANTO","de 200 a 300","BRINQUEDOS",2,10,"Sunday","acima de 60"
"F","VIUVO","SAO PEDRO","de 200 a 300","LIVROS",24,11,"Thursday","acima de 60"
"F","SOLTEIRO","JUCUTUQUARA","de 400 a 500","BELEZA E PERFUMARIA",10,9,"Saturday","35-45"
"F","CASADO","PRAIA DO CANTO","de 200 a 300","GAMES",14,10,"Friday","18-25"
"F","SOLTEIRO","GOIABEIRAS","de 200 a 300","BELEZA E PERFUMARIA",21,3,"Monday","26-35"
"F","DIVORCIADO","PRAIA DO CANTO","de 300 a 400","DECORACAO",17,9,"Saturday","46-60"
"F","CASADO","CENTRO","de 100 a 200","BELEZA E PERFUMARIA",28,3,"Monday","26-35"
"F","DIVORCIADO","JARDIM CAMBURI","de 400 a 500","BELEZA E PERFUMARIA",19,3,"Saturday","46-60"
"F","SOLTEIRO","JUCUTUQUARA","de 100 a 200","DECORACAO",3,7,"Sunday","18-25"
"F","SOLTEIRO","SANTO ANTONIO","de 400 a 500","LIVROS",10,8,"Wednesday","35-45"
"F","CASADO","CENTRO","de 100 a 200","BELEZA E PERFUMARIA",5,8,"Friday","35-45"
"F","VIUVO","JARDIM CAMBURI","acima de 500","DECORACAO",30,4,"Saturday","26-35"
"F","DIVORCIADO","CENTRO","de 100 a 200","BRINQUEDOS",14,3,"Monday","18-25"
"F","DIVORCIADO","CENTRO","de 100 a 200","CELULARES E TELEFONIA",27,2,"Saturday","acima de 60"
"F","VIUVO","PRAIA DO CANTO","de 100 a 200","DECORACAO",27,10,"Thursday","35-45"
"F","SOLTEIRO","PRAIA DO CANTO","de 300 a 400","BELEZA E PERFUMARIA",23,7,"Saturday","26-35"
"F","DIVORCIADO","CENTRO","de 100 a 200","ELETRODOMESTICOS",2,4,"Saturday","acima de 60"
"F","SOLTEIRO","JARDIM CAMBURI","de 300 a 400","CELULARES E TELEFONIA",21,2,"Sunday","35-45"
"F","SOLTEIRO","CENTRO","de 300 a 400","BELEZA E PERFUMARIA",2,7,"Saturday","18-25"
"F","DIVORCIADO","MARUIPE","de 300 a 400","BELEZA E PERFUMARIA",31,12,"Thursday","35-45"
"F","DIVORCIADO","SANTO ANTONIO","ate 100","BELEZA E PERFUMARIA",30,7,"Saturday","35-45"
"F","CASADO","CENTRO","de 100 a 200","GAMES",27,5,"Friday","26-35"
"F","DIVORCIADO","JARDIM CAMBURI","de 200 a 300","BRINQUEDOS",25,6,"Saturday","35-45"
"F","DIVORCIADO","MARUIPE","de 200 a 300","CELULARES E TELEFONIA",2,4,"Saturday","35-45"
"F","VIUVO","SAO PEDRO","acima de 500","INFORMATICA",22,12,"Thursday","35-45"
"F","SOLTEIRO","PRAIA DO CANTO","de 200 a 300","BELEZA E PERFUMARIA",26,2,"Friday","acima de 60"
"F","DIVORCIADO","MARUIPE","de 400 a 500","LIVROS",11,11,"Friday","35-45"
"F","DIVORCIADO","SANTO ANTONIO","de 200 a 300","BELEZA E PERFUMARIA",18,9,"Sunday","35-45"
"F","CASADO","SANTO ANTONIO","de 200 a 300","ELETRODOMESTICOS",27,10,"Thursday","46-60"
"F","DIVORCIADO","SANTO ANTONIO","de 100 a 200","ELETRODOMESTICOS",29,4,"Friday","35-45"
"F","DIVORCIADO","PRAIA DO CANTO","de 200 a 300","DECORACAO",10,8,"Wednesday","18-25"
"F","SOLTEIRO","SANTO ANTONIO","de 300 a 400","DECORACAO",11,11,"Friday","26-35"
"F","VIUVO","SANTO ANTONIO","de 200 a 300","BRINQUEDOS",22,7,"Friday","46-60"
"F","DIVORCIADO","SAO PEDRO","de 100 a 200","DECORACAO",25,9,"Sunday","26-35"
"F","CASADO","CENTRO","de 100 a 200","CELULARES E TELEFONIA",18,9,"Sunday","46-60"
"F","CASADO","MARUIPE","ate 100","LIVROS",23,1,"Saturday","26-35"
"F","DIVORCIADO","PRAIA DO CANTO","de 100 a 200","LIVROS",31,5,"Tuesday","18-25"
"F","SOLTEIRO","MARUIPE","de 200 a 300","DECORACAO",6,3,"Sunday","35-45"
"F","SOLTEIRO","CENTRO","de 400 a 500","BELEZA E PERFUMARIA",21,5,"Saturday","26-35"
"F","SOLTEIRO","JUCUTUQUARA","ate 100","GAMES",6,8,"Saturday","46-60"
"F","SOLTEIRO","CENTRO","de 300 a 400","BRINQUEDOS",6,2,"Saturday","35-45"
"F","SOLTEIRO","SAO PEDRO","de 100 a 200","LIVROS",24,9,"Saturday","35-45"
"F","DIVORCIADO","JARDIM CAMBURI","de 100 a 200","GAMES",2,4,"Saturday","46-60"
"F","DIVORCIADO","PRAIA DO CANTO","de 400 a 500","CELULARES E TELEFONIA",10,9,"Saturday","acima de 60"
"F","VIUVO","JARDIM DA PENHA","de 100 a 200","ELETRODOMESTICOS",21,8,"Sunday","26-35"
"F","SOLTEIRO","SANTO ANTONIO","acima de 500","BELEZA E PERFUMARIA",15,6,"Wednesday","35-45"
"F","CASADO","CENTRO","acima de 500","ELETRODOMESTICOS",13,10,"Thursday","acima de 60"
"F","SOLTEIRO","CENTRO","de 400 a 500","BRINQUEDOS",30,12,"Friday","46-60"
"F","SOLTEIRO","SAO PEDRO","ate 100","BELEZA E PERFUMARIA",5,8,"Friday","26-35"
"F","SOLTEIRO","JARDIM CAMBURI","ate 100","CELULARES E TELEFONIA",18,9,"Sunday","26-35"
"F","DIVORCIADO","SANTO ANTONIO","de 200 a 300","BELEZA E PERFUMARIA",22,2,"Monday","35-45"
"F","DIVORCIADO","CENTRO","de 100 a 200","BELEZA E PERFUMARIA",6,3,"Sunday","35-45"
"F","SOLTEIRO","MARUIPE","de 200 a 300","LIVROS",5,1,"Tuesday","18-25"
"F","DIVORCIADO","PRAIA DO CANTO","de 100 a 200","LIVROS",2,1,"Saturday","26-35"
"F","DIVORCIADO","SAO PEDRO","de 100 a 200","BELEZA E PERFUMARIA",22,4,"Friday","46-60"
"F","CASADO","JARDIM CAMBURI","de 400 a 500","DECORACAO",21,2,"Sunday","46-60"
"F","SOLTEIRO","JUCUTUQUARA","de 300 a 400","GAMES",10,8,"Wednesday","46-60"
"F","VIUVO","SANTO ANTONIO","de 100 a 200","CELULARES E TELEFONIA",22,9,"Thursday","26-35"
"F","DIVORCIADO","JARDIM CAMBURI","de 100 a 200","LIVROS",13,4,"Wednesday","35-45"
"F","DIVORCIADO","CENTRO","de 300 a 400","DECORACAO",28,5,"Saturday","26-35"
"F","VIUVO","JARDIM DA PENHA","ate 100","BRINQUEDOS",14,2,"Sunday","35-45"
"F","VIUVO","SANTO ANTONIO","de 100 a 200","BELEZA E PERFUMARIA",26,8,"Friday","35-45"
"F","DIVORCIADO","CENTRO","de 100 a 200","DECORACAO",30,1,"Saturday","26-35"
"F","SOLTEIRO","JARDIM CAMBURI","ate 100","ELETRODOMESTICOS",25,6,"Saturday","46-60"
"F","DIVORCIADO","CENTRO","de 200 a 300","ELETRODOMESTICOS",7,2,"Sunday","46-60"
"F","VIUVO","GOIABEIRAS","de 200 a 300","GAMES",2,4,"Saturday","18-25"
"F","VIUVO","JARDIM CAMBURI","de 200 a 300","LIVROS",6,5,"Friday","18-25"
"F","DIVORCIADO","GOIABEIRAS","ate 100","ELETRODOMESTICOS",10,6,"Friday","18-25"
"F","CASADO","PRAIA DO CANTO","de 200 a 300","CELULARES E TELEFONIA",10,7,"Sunday","35-45"
"F","SOLTEIRO","SAO PEDRO","de 300 a 400","DECORACAO",9,12,"Friday","35-45"
"F","DIVORCIADO","JUCUTUQUARA","de 400 a 500","ELETRODOMESTICOS",19,8,"Friday","18-25"
"F","CASADO","GOIABEIRAS","de 100 a 200","DECORACAO",30,10,"Sunday","46-60"
"F","CASADO","SANTO ANTONIO","de 300 a 400","LIVROS",7,8,"Sunday","35-45"
"F","SOLTEIRO","SAO PEDRO","de 200 a 300","ELETRODOMESTICOS",30,3,"Wednesday","18-25"
"F","SOLTEIRO","PRAIA DO CANTO","de 200 a 300","BELEZA E PERFUMARIA",12,4,"Tuesday","26-35"
"F","CASADO","PRAIA DO CANTO","de 100 a 200","BELEZA E PERFUMARIA",25,11,"Friday","35-45"
"F","SOLTEIRO","MARUIPE","de 300 a 400","DECORACAO",16,4,"Saturday","35-45"
"F","SOLTEIRO","MARUIPE","ate 100","BELEZA E PERFUMARIA",20,5,"Friday","18-25"
"F","CASADO","PRAIA DO CANTO","de 200 a 300","LIVROS",17,6,"Friday","35-45"
"F","DIVORCIADO","CENTRO","de 400 a 500","LIVROS",4,1,"Monday","18-25"
"F","SOLTEIRO","JUCUTUQUARA","de 400 a 500","CELULARES E TELEFONIA",24,12,"Saturday","26-35"
"F","SOLTEIRO","SANTO ANTONIO","de 200 a 300","ELETRODOMESTICOS",29,12,"Thursday","46-60"
"F","SOLTEIRO","CENTRO","de 200 a 300","BRINQUEDOS",9,10,"Sunday","35-45"
"F","SOLTEIRO","CENTRO","de 300 a 400","CELULARES E TELEFONIA",12,8,"Friday","35-45"
"F","DIVORCIADO","PRAIA DO CANTO","de 200 a 300","BELEZA E PERFUMARIA",17,11,"Thursday","46-60"
"F","SOLTEIRO","PRAIA DO CANTO","de 200 a 300","DECORACAO",10,5,"Tuesday","35-45"
"F","DIVORCIADO","CENTRO","de 300 a 400","DECORACAO",7,11,"Monday","35-45"
"F","SOLTEIRO","MARUIPE","de 200 a 300","ELETRODOMESTICOS",13,2,"Saturday","35-45"
"F","CASADO","SANTO ANTONIO","de 100 a 200","BELEZA E PERFUMARIA",24,12,"Saturday","35-45"
"F","CASADO","GOIABEIRAS","de 300 a 400","CELULARES E TELEFONIA",14,5,"Saturday","18-25"
"F","CASADO","GOIABEIRAS","de 300 a 400","BELEZA E PERFUMARIA",3,11,"Thursday","26-35"
"F","SOLTEIRO","CENTRO","de 400 a 500","LIVROS",15,10,"Saturday","26-35"
"F","CASADO","SANTO ANTONIO","de 100 a 200","LIVROS",29,10,"Saturday","18-25"
"F","CASADO","PRAIA DO CANTO","de 200 a 300","INFORMATICA",17,12,"Saturday","35-45"
"F","CASADO","JARDIM CAMBURI","de 200 a 300","BELEZA E PERFUMARIA",17,12,"Saturday","46-60"
"F","DIVORCIADO","JARDIM DA PENHA","acima de 500","BRINQUEDOS",12,10,"Wednesday","acima de 60"
"F","VIUVO","MARUIPE","ate 100","GAMES",7,10,"Friday","acima de 60"
"F","DIVORCIADO","PRAIA DO CANTO","de 200 a 300","DECORACAO",3,3,"Thursday","26-35"
"F","VIUVO","JUCUTUQUARA","de 200 a 300","CELULARES E TELEFONIA",3,4,"Sunday","18-25"
"F","DIVORCIADO","JUCUTUQUARA","de 200 a 300","BRINQUEDOS",2,11,"Wednesday","18-25"
"F","CASADO","PRAIA DO CANTO","de 300 a 400","LIVROS",23,6,"Thursday","26-35"
"F","SOLTEIRO","CENTRO","ate 100","BELEZA E PERFUMARIA",3,12,"Saturday","35-45"
"F","DIVORCIADO","PRAIA DO CANTO","de 200 a 300","BELEZA E PERFUMARIA",24,11,"Thursday","46-60"
"F","SOLTEIRO","JARDIM DA PENHA","de 100 a 200","LIVROS",15,4,"Friday","35-45"
"F","DIVORCIADO","JARDIM CAMBURI","de 200 a 300","DECORACAO",18,12,"Sunday","35-45"
"F","SOLTEIRO","CENTRO","de 100 a 200","BELEZA E PERFUMARIA",3,7,"Sunday","26-35"
"F","CASADO","GOIABEIRAS","ate 100","BRINQUEDOS",11,3,"Friday","18-25"
"F","CASADO","SANTO ANTONIO","de 200 a 300","BELEZA E PERFUMARIA",17,9,"Saturday","35-45"
"F","SOLTEIRO","JUCUTUQUARA","ate 100","CELULARES E TELEFONIA",23,8,"Tuesday","26-35"
"F","DIVORCIADO","PRAIA DO CANTO","de 100 a 200","BELEZA E PERFUMARIA",26,8,"Friday","18-25"
