@RELATION compras

@ATTRIBUTE id NUMERIC
@ATTRIBUTE sexo {F,M}
@ATTRIBUTE estado_civil {DIVORCIADO, SOLTEIRO, VIUVO, CASADO}
@ATTRIBUTE cidade {VITORIA}
@ATTRIBUTE bairro {CENTRO, 'SANTO ANTONIO', JUCUTUQUARA, MARUIPE, 'PRAIA DO CANTO', 'SAO PEDRO', GOIABEIRAS, 'JARDIM CAMBURI', 'JARDIM DA PENHA'}
@ATTRIBUTE estado {'ESPIRITO SANTO'}
@ATTRIBUTE produto STRING
@ATTRIBUTE preco NUMERIC
@ATTRIBUTE estabelecimento {INFORMATICA, BRINQUEDOS, 'CELULARES E TELEFONIA', ELETRODOMESTICOS, 'BELEZA E PERFUMARIA', GAMES, LIVROS, DECORACAO}
@ATTRIBUTE data_compra DATE "yyyy-MM-dd"
@ATTRIBUTE data_compra_dia NUMERIC
@ATTRIBUTE data_compra_mes NUMERIC
@ATTRIBUTE data_compra_semana {Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday}

@DATA
135,"F","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Lightweight Granite Pants",70.28,"CELULARES E TELEFONIA","2016-08-26T21:00:00-03:00",26,8,"Friday"
136,"F","DIVORCIADO","VITORIA","MARUIPE","ESPIRITO SANTO","Fantastic Plastic Bottle",61.04,"INFORMATICA","2016-06-19T21:00:00-03:00",19,6,"Sunday"
137,"M","CASADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Ergonomic Plastic Watch",73.38,"CELULARES E TELEFONIA","2016-07-02T21:00:00-03:00",2,7,"Saturday"
138,"M","DIVORCIADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Awesome Rubber Car",36.83,"BRINQUEDOS","2016-06-08T21:00:00-03:00",8,6,"Wednesday"
139,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Fantastic Marble Wallet",68.52,"ELETRODOMESTICOS","2016-06-02T21:00:00-03:00",2,6,"Thursday"
140,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Durable Paper Table",0.86,"DECORACAO","2016-07-09T21:00:00-03:00",9,7,"Saturday"
141,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Leather Hat",21.05,"GAMES","2016-12-03T22:00:00-02:00",3,12,"Saturday"
142,"F","DIVORCIADO","VITORIA","MARUIPE","ESPIRITO SANTO","Lightweight Concrete Chair",62.81,"BRINQUEDOS","2016-02-28T21:00:00-03:00",28,2,"Sunday"
143,"M","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Aerodynamic Linen Wallet",40.59,"DECORACAO","2016-05-07T21:00:00-03:00",7,5,"Saturday"
144,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Rustic Paper Bag",77.66,"GAMES","2016-11-26T22:00:00-02:00",26,11,"Saturday"
145,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Rustic Leather Pants",39.72,"BRINQUEDOS","2016-07-21T21:00:00-03:00",21,7,"Thursday"
146,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Synergistic Marble Keyboard",28.99,"INFORMATICA","2016-05-13T21:00:00-03:00",13,5,"Friday"
147,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Awesome Wooden Table",56.14,"CELULARES E TELEFONIA","2016-07-21T21:00:00-03:00",21,7,"Thursday"
148,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Rustic Leather Gloves",94.45,"BRINQUEDOS","2016-01-16T22:00:00-02:00",16,1,"Saturday"
149,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Gorgeous Wool Shoes",17.23,"ELETRODOMESTICOS","2016-11-19T22:00:00-02:00",19,11,"Saturday"
150,"M","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Mediocre Concrete Clock",22.66,"INFORMATICA","2016-05-12T21:00:00-03:00",12,5,"Thursday"
151,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Practical Granite Clock",9.3,"BRINQUEDOS","2016-01-22T22:00:00-02:00",22,1,"Friday"
152,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Rustic Plastic Bag",58.23,"BRINQUEDOS","2016-01-27T22:00:00-02:00",27,1,"Wednesday"
153,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Synergistic Steel Plate",44.57,"INFORMATICA","2016-03-16T21:00:00-03:00",16,3,"Wednesday"
154,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Mediocre Plastic Wallet",17.36,"INFORMATICA","2016-07-13T21:00:00-03:00",13,7,"Wednesday"
155,"F","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Durable Steel Hat",22.33,"BRINQUEDOS","2016-03-11T21:00:00-03:00",11,3,"Friday"
156,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Durable Granite Chair",20.22,"INFORMATICA","2016-11-14T22:00:00-02:00",14,11,"Monday"
157,"M","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Incredible Wooden Gloves",46,"INFORMATICA","2016-05-06T21:00:00-03:00",6,5,"Friday"
158,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Gorgeous Granite Coat",53.82,"BRINQUEDOS","2016-07-25T21:00:00-03:00",25,7,"Monday"
159,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Rustic Plastic Shirt",75.87,"BRINQUEDOS","2016-01-16T22:00:00-02:00",16,1,"Saturday"
160,"F","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Small Steel Car",52.56,"INFORMATICA","2016-02-26T21:00:00-03:00",26,2,"Friday"
161,"M","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Awesome Linen Bag",79.88,"BRINQUEDOS","2016-10-14T22:00:00-02:00",14,10,"Friday"
162,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Durable Steel Hat",47.64,"GAMES","2016-12-25T22:00:00-02:00",25,12,"Sunday"
163,"F","CASADO","VITORIA","MARUIPE","ESPIRITO SANTO","Sleek Granite Shoes",87.67,"INFORMATICA","2016-01-15T22:00:00-02:00",15,1,"Friday"
164,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Synergistic Concrete Table",69.8,"INFORMATICA","2016-01-15T22:00:00-02:00",15,1,"Friday"
165,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Incredible Bronze Gloves",99.26,"LIVROS","2016-04-14T21:00:00-03:00",14,4,"Thursday"
166,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Durable Wool Plate",55.91,"BRINQUEDOS","2016-10-15T22:00:00-02:00",15,10,"Saturday"
167,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Enormous Rubber Computer",45.27,"BRINQUEDOS","2016-08-06T21:00:00-03:00",6,8,"Saturday"
168,"M","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Plastic Knife",65.1,"BELEZA E PERFUMARIA","2016-07-06T21:00:00-03:00",6,7,"Wednesday"
169,"F","DIVORCIADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Practical Iron Clock",67.96,"INFORMATICA","2016-12-25T22:00:00-02:00",25,12,"Sunday"
170,"M","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Durable Granite Clock",54.53,"BELEZA E PERFUMARIA","2016-03-12T21:00:00-03:00",12,3,"Saturday"
171,"M","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Durable Cotton Clock",37.46,"BRINQUEDOS","2016-09-10T21:00:00-03:00",10,9,"Saturday"
172,"M","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Synergistic Rubber Watch",39.57,"GAMES","2016-10-21T22:00:00-02:00",21,10,"Friday"
173,"F","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Mediocre Leather Bench",95.27,"INFORMATICA","2016-03-26T21:00:00-03:00",26,3,"Saturday"
174,"M","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Small Steel Keyboard",3.75,"BELEZA E PERFUMARIA","2016-11-26T22:00:00-02:00",26,11,"Saturday"
175,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Rustic Copper Table",21.01,"BRINQUEDOS","2016-09-25T21:00:00-03:00",25,9,"Sunday"
176,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Aluminum Wallet",50.29,"BRINQUEDOS","2016-05-20T21:00:00-03:00",20,5,"Friday"
177,"F","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Mediocre Cotton Watch",28.45,"BELEZA E PERFUMARIA","2016-04-09T21:00:00-03:00",9,4,"Saturday"
178,"F","DIVORCIADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Small Aluminum Car",7.81,"BRINQUEDOS","2016-11-19T22:00:00-02:00",19,11,"Saturday"
179,"M","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Awesome Steel Knife",0.03,"INFORMATICA","2016-12-10T22:00:00-02:00",10,12,"Saturday"
180,"F","VIUVO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Intelligent Leather Bag",16.41,"INFORMATICA","2016-10-08T21:00:00-03:00",8,10,"Saturday"
181,"M","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Iron Bottle",25.25,"LIVROS","2016-07-01T21:00:00-03:00",1,7,"Friday"
182,"M","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Practical Concrete Plate",48.13,"GAMES","2016-06-29T21:00:00-03:00",29,6,"Wednesday"
183,"M","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Fantastic Granite Shirt",94.96,"BELEZA E PERFUMARIA","2016-12-17T22:00:00-02:00",17,12,"Saturday"
184,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Mediocre Wooden Knife",74.44,"GAMES","2016-02-06T22:00:00-02:00",6,2,"Saturday"
185,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Rustic Wool Car",99.5,"INFORMATICA","2016-09-28T21:00:00-03:00",28,9,"Wednesday"
186,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Sleek Wool Computer",36.48,"INFORMATICA","2016-07-02T21:00:00-03:00",2,7,"Saturday"
187,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Small Linen Plate",0.7,"GAMES","2016-03-12T21:00:00-03:00",12,3,"Saturday"
188,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Sleek Concrete Computer",9.8,"INFORMATICA","2016-07-30T21:00:00-03:00",30,7,"Saturday"
189,"F","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Intelligent Wooden Watch",94.53,"BRINQUEDOS","2016-03-27T21:00:00-03:00",27,3,"Sunday"
190,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Heavy Duty Paper Coat",81.53,"CELULARES E TELEFONIA","2016-09-11T21:00:00-03:00",11,9,"Sunday"
191,"F","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Lightweight Granite Bottle",11.69,"BRINQUEDOS","2016-09-24T21:00:00-03:00",24,9,"Saturday"
192,"M","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Enormous Concrete Bag",91.81,"BELEZA E PERFUMARIA","2016-02-13T22:00:00-02:00",13,2,"Saturday"
193,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Mediocre Plastic Computer",86.17,"INFORMATICA","2016-02-11T22:00:00-02:00",11,2,"Thursday"
194,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Ergonomic Cotton Knife",9.29,"LIVROS","2016-07-02T21:00:00-03:00",2,7,"Saturday"
195,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Synergistic Leather Chair",78.85,"GAMES","2016-05-26T21:00:00-03:00",26,5,"Thursday"
196,"M","VIUVO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Fantastic Iron Watch",37.5,"BRINQUEDOS","2015-12-31T22:00:00-02:00",31,12,"Thursday"
197,"M","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Gorgeous Leather Chair",23.26,"BELEZA E PERFUMARIA","2016-12-10T22:00:00-02:00",10,12,"Saturday"
198,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Enormous Copper Bottle",95.05,"BELEZA E PERFUMARIA","2016-08-04T21:00:00-03:00",4,8,"Thursday"
199,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Linen Watch",8.35,"BRINQUEDOS","2016-03-07T21:00:00-03:00",7,3,"Monday"
200,"M","DIVORCIADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Sleek Aluminum Wallet",31.49,"CELULARES E TELEFONIA","2016-09-01T21:00:00-03:00",1,9,"Thursday"
201,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Intelligent Bronze Clock",24.43,"BELEZA E PERFUMARIA","2016-01-10T22:00:00-02:00",10,1,"Sunday"
202,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Awesome Plastic Lamp",98.97,"BELEZA E PERFUMARIA","2016-01-16T22:00:00-02:00",16,1,"Saturday"
203,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Lightweight Linen Hat",99.83,"INFORMATICA","2016-11-23T22:00:00-02:00",23,11,"Wednesday"
204,"M","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Aerodynamic Granite Pants",44.21,"INFORMATICA","2016-08-24T21:00:00-03:00",24,8,"Wednesday"
205,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Gorgeous Bronze Computer",12.56,"BRINQUEDOS","2016-05-23T21:00:00-03:00",23,5,"Monday"
206,"F","CASADO","VITORIA","MARUIPE","ESPIRITO SANTO","Enormous Cotton Clock",18.44,"ELETRODOMESTICOS","2016-03-11T21:00:00-03:00",11,3,"Friday"
207,"F","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Sleek Wool Shoes",54.74,"BELEZA E PERFUMARIA","2016-09-10T21:00:00-03:00",10,9,"Saturday"
208,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Iron Clock",16.51,"BRINQUEDOS","2016-08-13T21:00:00-03:00",13,8,"Saturday"
209,"M","CASADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Practical Leather Shirt",14.47,"CELULARES E TELEFONIA","2016-10-09T22:00:00-02:00",9,10,"Sunday"
210,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Practical Marble Chair",83.13,"BRINQUEDOS","2016-01-14T22:00:00-02:00",14,1,"Thursday"
211,"M","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Lightweight Iron Bottle",27.57,"INFORMATICA","2016-11-30T22:00:00-02:00",30,11,"Wednesday"
212,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Durable Iron Gloves",64.8,"INFORMATICA","2016-03-17T21:00:00-03:00",17,3,"Thursday"
213,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Incredible Leather Wallet",57.53,"BRINQUEDOS","2016-11-28T22:00:00-02:00",28,11,"Monday"
214,"M","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Durable Leather Hat",32.52,"ELETRODOMESTICOS","2016-11-25T22:00:00-02:00",25,11,"Friday"
215,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Rustic Granite Hat",12.26,"INFORMATICA","2016-09-23T21:00:00-03:00",23,9,"Friday"
216,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Iron Wallet",7.18,"BRINQUEDOS","2016-05-02T21:00:00-03:00",2,5,"Monday"
217,"M","VIUVO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Synergistic Iron Table",83.79,"INFORMATICA","2016-03-12T21:00:00-03:00",12,3,"Saturday"
218,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Intelligent Iron Table",73.51,"BRINQUEDOS","2016-07-27T21:00:00-03:00",27,7,"Wednesday"
219,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Small Iron Knife",8.65,"ELETRODOMESTICOS","2016-11-19T22:00:00-02:00",19,11,"Saturday"
220,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Small Bronze Table",83.75,"INFORMATICA","2016-01-09T22:00:00-02:00",9,1,"Saturday"
221,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Heavy Duty Concrete Knife",7.89,"LIVROS","2016-09-23T21:00:00-03:00",23,9,"Friday"
222,"M","CASADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Incredible Concrete Bag",10.19,"BRINQUEDOS","2016-04-22T21:00:00-03:00",22,4,"Friday"
223,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Small Copper Wallet",49.94,"BRINQUEDOS","2016-12-24T22:00:00-02:00",24,12,"Saturday"
224,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Ergonomic Concrete Hat",15.86,"LIVROS","2016-11-10T22:00:00-02:00",10,11,"Thursday"
225,"M","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Enormous Rubber Shoes",72.87,"DECORACAO","2016-10-03T21:00:00-03:00",3,10,"Monday"
226,"M","CASADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Enormous Silk Table",26.41,"CELULARES E TELEFONIA","2016-07-28T21:00:00-03:00",28,7,"Thursday"
227,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Paper Bench",10.96,"DECORACAO","2016-07-30T21:00:00-03:00",30,7,"Saturday"
228,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Awesome Steel Wallet",58.48,"BELEZA E PERFUMARIA","2016-09-01T21:00:00-03:00",1,9,"Thursday"
229,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Intelligent Iron Table",50.75,"GAMES","2016-10-29T22:00:00-02:00",29,10,"Saturday"
230,"F","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Practical Steel Bottle",81.79,"ELETRODOMESTICOS","2016-01-27T22:00:00-02:00",27,1,"Wednesday"
231,"M","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Sleek Marble Bottle",78.61,"GAMES","2016-08-24T21:00:00-03:00",24,8,"Wednesday"
232,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Sleek Cotton Plate",80.26,"DECORACAO","2016-05-03T21:00:00-03:00",3,5,"Tuesday"
233,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Fantastic Linen Table",25.5,"GAMES","2016-01-31T22:00:00-02:00",31,1,"Sunday"
234,"F","CASADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Rustic Plastic Plate",96.91,"BRINQUEDOS","2016-02-02T22:00:00-02:00",2,2,"Tuesday"
235,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Intelligent Concrete Coat",45.05,"BRINQUEDOS","2016-06-04T21:00:00-03:00",4,6,"Saturday"
236,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Durable Copper Clock",14.81,"INFORMATICA","2016-07-20T21:00:00-03:00",20,7,"Wednesday"
237,"F","VIUVO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Small Wool Lamp",97.11,"BELEZA E PERFUMARIA","2016-06-17T21:00:00-03:00",17,6,"Friday"
238,"F","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Mediocre Leather Bottle",27.31,"BELEZA E PERFUMARIA","2016-02-05T22:00:00-02:00",5,2,"Friday"
239,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Practical Iron Table",33.46,"GAMES","2016-02-06T22:00:00-02:00",6,2,"Saturday"
240,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Rustic Paper Hat",85.76,"ELETRODOMESTICOS","2016-04-20T21:00:00-03:00",20,4,"Wednesday"
241,"M","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Intelligent Steel Lamp",96.37,"INFORMATICA","2016-04-16T21:00:00-03:00",16,4,"Saturday"
242,"F","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Lightweight Aluminum Wallet",65.94,"BELEZA E PERFUMARIA","2016-10-14T22:00:00-02:00",14,10,"Friday"
243,"F","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Synergistic Marble Watch",79.52,"INFORMATICA","2016-01-19T22:00:00-02:00",19,1,"Tuesday"
244,"M","VIUVO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Lightweight Silk Clock",4.12,"DECORACAO","2016-09-25T21:00:00-03:00",25,9,"Sunday"
245,"M","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Mediocre Paper Wallet",81.09,"INFORMATICA","2016-08-27T21:00:00-03:00",27,8,"Saturday"
246,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Aerodynamic Cotton Clock",8.64,"DECORACAO","2016-09-02T21:00:00-03:00",2,9,"Friday"
247,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Fantastic Plastic Shoes",77.22,"BELEZA E PERFUMARIA","2016-06-27T21:00:00-03:00",27,6,"Monday"
248,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Lightweight Linen Knife",69.83,"INFORMATICA","2016-03-15T21:00:00-03:00",15,3,"Tuesday"
249,"M","CASADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Enormous Paper Bench",83.03,"LIVROS","2016-12-16T22:00:00-02:00",16,12,"Friday"
250,"M","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Ergonomic Rubber Shoes",32.19,"INFORMATICA","2016-06-19T21:00:00-03:00",19,6,"Sunday"
251,"M","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Ergonomic Leather Hat",9.49,"BELEZA E PERFUMARIA","2016-08-27T21:00:00-03:00",27,8,"Saturday"
252,"M","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Fantastic Concrete Clock",97.64,"BELEZA E PERFUMARIA","2016-06-19T21:00:00-03:00",19,6,"Sunday"
253,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Mediocre Wooden Watch",57.57,"ELETRODOMESTICOS","2016-08-21T21:00:00-03:00",21,8,"Sunday"
254,"F","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Marble Hat",36.84,"INFORMATICA","2016-08-23T21:00:00-03:00",23,8,"Tuesday"
255,"M","CASADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Intelligent Cotton Chair",40.34,"GAMES","2016-03-12T21:00:00-03:00",12,3,"Saturday"
256,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Enormous Cotton Wallet",22.07,"BELEZA E PERFUMARIA","2016-05-21T21:00:00-03:00",21,5,"Saturday"
257,"F","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Fantastic Paper Pants",21.77,"INFORMATICA","2016-02-21T21:00:00-03:00",21,2,"Sunday"
258,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Enormous Granite Table",34.26,"BELEZA E PERFUMARIA","2016-04-08T21:00:00-03:00",8,4,"Friday"
259,"F","DIVORCIADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Synergistic Silk Pants",47.33,"GAMES","2016-11-12T22:00:00-02:00",12,11,"Saturday"
260,"M","DIVORCIADO","VITORIA","CENTRO","ESPIRITO SANTO","Incredible Silk Car",17.03,"LIVROS","2016-02-23T21:00:00-03:00",23,2,"Tuesday"
261,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Sleek Granite Bench",21.59,"ELETRODOMESTICOS","2016-03-03T21:00:00-03:00",3,3,"Thursday"
262,"F","DIVORCIADO","VITORIA","MARUIPE","ESPIRITO SANTO","Intelligent Iron Chair",29.15,"INFORMATICA","2016-12-06T22:00:00-02:00",6,12,"Tuesday"
263,"M","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Gorgeous Marble Shoes",73.89,"GAMES","2016-05-20T21:00:00-03:00",20,5,"Friday"
264,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Intelligent Rubber Keyboard",67.85,"INFORMATICA","2016-12-30T22:00:00-02:00",30,12,"Friday"
265,"M","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Heavy Duty Aluminum Pants",18.67,"BELEZA E PERFUMARIA","2016-11-18T22:00:00-02:00",18,11,"Friday"
266,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Wool Computer",40.16,"BRINQUEDOS","2016-05-02T21:00:00-03:00",2,5,"Monday"
267,"M","CASADO","VITORIA","MARUIPE","ESPIRITO SANTO","Fantastic Concrete Coat",73.29,"ELETRODOMESTICOS","2016-08-27T21:00:00-03:00",27,8,"Saturday"
268,"M","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Incredible Concrete Watch",39.52,"ELETRODOMESTICOS","2016-06-03T21:00:00-03:00",3,6,"Friday"
269,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Rustic Wooden Bottle",78.12,"INFORMATICA","2016-08-29T21:00:00-03:00",29,8,"Monday"
270,"F","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Lightweight Leather Gloves",40.24,"INFORMATICA","2016-04-24T21:00:00-03:00",24,4,"Sunday"
271,"F","VIUVO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Incredible Steel Knife",12.78,"CELULARES E TELEFONIA","2016-07-31T21:00:00-03:00",31,7,"Sunday"
272,"M","DIVORCIADO","VITORIA","CENTRO","ESPIRITO SANTO","Enormous Plastic Plate",38.78,"BRINQUEDOS","2016-08-13T21:00:00-03:00",13,8,"Saturday"
273,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Mediocre Silk Hat",77.84,"INFORMATICA","2016-09-16T21:00:00-03:00",16,9,"Friday"
274,"F","VIUVO","VITORIA","CENTRO","ESPIRITO SANTO","Awesome Linen Gloves",13.51,"INFORMATICA","2016-02-17T22:00:00-02:00",17,2,"Wednesday"
